image_filename;description
carqueja_4.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Podem aliviar espasmos intestinais.
carqueja_5.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Contribuem para proteção do fígado.
carqueja_6.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Estimulam o apetite em casos de inapetência.
carqueja_7.png;Plantas Digestivas e Gastrointestinais, atuam no estômago, fígado e digestão.Auxiliam na regulação do trânsito intestinal.
camomila_1.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Promovem relaxamento do sistema nervoso central.
camomila_2.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Ajudam a reduzir ansiedade e estresse.
camomila_3.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Facilitam indução do sono natural.
camomila_4.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Podem aliviar tensão emocional e irritabilidade.
camomila_5.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Contribuem para melhor qualidade do sono.
camomila_6.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Reduzem espasmos nervosos e tremores leves.
camomila_7.png;Plantas Calmantes e do Sistema Nervoso. atuam no cérebro, ansiedade e sono.Auxiliam no equilíbrio do humor.




